,0
1032,0.9258
1033,0.6698
1034,0.7774
1035,0.898
1036,0.7913
1037,0.8787
1038,0.9295
1039,0.729
1040,0.918
1041,0.7942
1042,0.881
1043,0.8746
1044,0.869
1045,0.8025
1046,0.7924
1047,0.9138
1048,0.8861
1049,0.7498
1050,0.7287
1051,0.8902
1052,0.6552
1053,0.7352
1054,0.675
1055,0.8836
1056,0.8183
1057,0.8381
1058,0.8511
1059,0.8565
1060,0.8875
1061,0.7382
1062,0.8328
1063,0.755
1064,0.8772
1065,0.8496
1066,0.8467
1067,0.8709
1068,0.8555
1069,0.776
1070,0.8916
1071,0.9152
1072,0.8604
1073,0.9022
1074,0.7969
1075,0.8638
1076,0.8011
1077,0.8681
1078,0.7644
1079,0.7594
1080,0.9063
1081,0.732
1082,0.8523
1083,0.7965
1084,0.8791
1085,0.7956
1086,0.773
1087,0.7812
1088,0.9036
1089,0.7536
1090,0.76
1091,0.8992
1092,0.6926
1093,0.8168
1094,0.7658
1095,0.681
1096,0.7337
1097,0.8314
1098,0.8478
1099,0.8653
1100,0.8638
1101,0.8604
1102,0.7858
1103,0.881
1104,0.7872
1105,0.898
1106,0.9277
1107,0.8366
1108,0.8537
1109,0.8746
1110,0.6943
1111,0.9108
1112,0.7658
1113,0.7942
1114,0.7337
1115,0.8948
1116,0.8651
1117,0.827
1118,0.9152
1119,0.8444
1120,0.9242
1121,0.7969
1122,0.8574
1123,0.8649
1124,0.7774
1125,0.9077
1126,0.7382
1127,0.8204
1128,0.7827
1129,0.8787
1130,0.857
1131,0.7594
1132,0.9045
1133,0.7913
1134,0.8916
1135,0.8555
1136,0.8564
1137,0.7483
1138,0.7812
1139,0.773
1140,0.7715
1141,0.869
1142,0.8731
1143,0.9166
1144,0.7396
1145,0.758
1146,0.8693
1147,0.9216
1148,0.8992
1149,0.7276
1150,0.8016
1151,0.8791
1152,0.8875
1153,0.8467
1154,0.9022
1155,0.7536
1156,0.8478
1157,0.7498
1158,0.8011
1159,0.8772
1160,0.755
1161,0.801
1162,0.8619
1163,0.7987
1164,0.8001
1165,0.9257
1166,0.76
1167,0.8496
1168,0.8381
1169,0.8519
1170,0.776
1171,0.8681
1172,0.805
1173,0.8966
1174,0.7924
1175,0.9093
1176,0.8458
1177,0.8412
1178,0.7373
1179,0.8902
1180,0.8565
1181,0.8806
1182,0.9063
1183,0.7614
1184,0.8939
1185,0.8861
1186,0.8701
1187,0.9036
1188,0.9225
1189,0.9268
1190,0.8551
1191,0.732
1192,0.7352
1193,0.7644
1194,0.8314
1195,0.7956
1196,0.8667
1197,0.9451
1198,0.7965
1199,0.8925
1200,0.8687
1201,0.9179
1202,0.8011
1203,0.8813
1204,0.8875
1205,0.8619
1206,0.7942
1207,0.8579
1208,0.7997
1209,0.881
1210,0.7387
1211,0.8902
1212,0.8836
1213,0.9291
1214,0.9451
1215,0.8966
1216,0.9022
1217,0.8992
1218,0.7335
1219,0.8467
1220,0.7827
1221,0.7904
1222,0.8001
1223,0.8681
1224,0.9407
1225,0.9391
1226,0.8204
1227,0.8511
1228,0.8366
1229,0.8746
1230,0.8551
1231,0.7924
1232,0.7483
1233,0.898
1234,0.8328
1235,0.8589
1236,0.8791
1237,0.773
1238,0.8861
1239,0.758
1240,0.7644
1241,0.9175
1242,0.8916
1243,0.8604
1244,0.9309
1245,0.8284
1246,0.827
1247,0.8035
1248,0.7498
1249,0.805
1250,0.9036
1251,0.8458
1252,0.8381
1253,0.8523
1254,0.923
1255,0.9045
1256,0.776
1257,0.9063
1258,0.8604
1259,0.9114
1260,0.8444
1261,0.7812
1262,0.8519
1263,0.8412
1264,0.8653
1265,0.8564
1266,0.755
1267,0.9193
1268,0.7987
1269,0.7594
1270,0.8666
1271,0.8638
1272,0.8806
1273,0.7913
1274,0.8565
1275,0.789
1276,0.7595
1277,0.732
1278,0.7965
1279,0.7774
1280,0.8478
1281,0.8537
1282,0.8795
1283,0.7983
1284,0.8939
1285,0.8731
1286,0.8778
1287,0.8948
1288,0.8314
1289,0.8555
1290,0.8496
1291,0.7276
1292,0.8772
1293,0.801
1294,0.7957
1295,0.8812
1296,0.8668
1297,0.879
1298,0.7901
1299,0.7938
1300,0.7788
1301,0.8701
1302,0.9216
1303,0.7276
1304,0.9295
1305,0.9407
1306,0.8523
1307,0.7987
1308,0.8555
1309,0.9258
1310,0.8693
1311,0.7924
1312,0.8925
1313,0.8934
1314,0.732
1315,0.755
1316,0.8478
1317,0.8035
1318,0.8902
1319,0.8667
1320,0.8444
1321,0.7956
1322,0.8467
1323,0.827
1324,0.8806
1325,0.8746
1326,0.8565
1327,0.8579
1328,0.8795
1329,0.898
1330,0.7715
1331,0.9063
1332,0.8284
1333,0.9277
1334,0.7644
1335,0.7983
1336,0.8604
1337,0.7658
1338,0.773
1339,0.7594
1340,0.9437
1341,0.7904
1342,0.7827
1343,0.8651
1344,0.7969
1345,0.8948
1346,0.9193
1347,0.8772
1348,0.8458
1349,0.8314
1350,0.8813
1351,0.8604
1352,0.8011
1353,0.8916
1354,0.8551
1355,0.7774
1356,0.801
1357,0.7965
1358,0.8791
1359,0.9451
1360,0.9268
1361,0.9202
1362,0.729
1363,0.7536
1364,0.789
1365,0.916
1366,0.9077
1367,0.869
1368,0.7498
1369,0.8519
1370,0.7373
1371,0.7483
1372,0.776
1373,0.9036
1374,0.9045
1375,0.8366
1376,0.9175
1377,0.8619
1378,0.8649
1379,0.8328
1380,0.8992
1381,0.8861
1382,0.7942
1383,0.8537
1384,0.9179
1385,0.8731
1386,0.9354
1387,0.8381
1388,0.758
1389,0.8001
1390,0.8589
1391,0.8564
1392,0.8511
1393,0.8787
1394,0.881
1395,0.8025
1396,0.7913
1397,0.8496
1398,0.8638
1399,0.7858
1400,0.869
1401,0.7969
1402,0.7373
1403,0.7335
1404,0.7983
1405,0.8966
1406,0.8314
1407,0.8925
1408,0.9263
1409,0.9354
1410,0.934
1411,0.8035
1412,0.7913
1413,0.7997
1414,0.8564
1415,0.7276
1416,0.8746
1417,0.8813
1418,0.8381
1419,0.8412
1420,0.7812
1421,0.8555
1422,0.9077
1423,0.8653
1424,0.7536
1425,0.8772
1426,0.7595
1427,0.758
1428,0.8875
1429,0.8638
1430,0.9392
1431,0.8511
1432,0.7858
1433,0.8551
1434,0.729
1435,0.8795
1436,0.8791
1437,0.8579
1438,0.9451
1439,0.8458
1440,0.7942
1441,0.9045
1442,0.9193
1443,0.8701
1444,0.7987
1445,0.881
1446,0.8693
1447,0.7483
1448,0.8731
1449,0.7774
1450,0.9407
1451,0.8604
1452,0.801
1453,0.7965
1454,0.827
1455,0.9063
1456,0.898
1457,0.8565
1458,0.8204
1459,0.805
1460,0.8992
1461,0.8939
1462,0.8836
1463,0.8444
1464,0.732
1465,0.8025
1466,0.8001
1467,0.7594
1468,0.776
1469,0.8523
1470,0.7644
1471,0.7904
1472,0.8619
1473,0.7498
1474,0.8519
1475,0.881
1476,0.789
1477,0.7956
1478,0.916
1479,0.8496
1480,0.8604
1481,0.8467
1482,0.8681
1483,0.9036
1484,0.7658
1485,0.8787
1486,0.8902
1487,0.7387
1488,0.7924
1489,0.8948
1490,0.8916
1491,0.773
1492,0.8537
1493,0.8667
1494,0.8589
1495,0.755
1496,0.9258
1497,0.8806
1498,0.8328
1499,0.9175
1500,0.7387
1501,0.881
1502,0.8791
1503,0.9354
1504,0.8381
1505,0.881
1506,0.7904
1507,0.758
1508,0.8025
1509,0.8565
1510,0.8806
1511,0.8619
1512,0.8813
1513,0.9114
1514,0.9437
1515,0.7276
1516,0.8511
1517,0.8284
1518,0.898
1519,0.732
1520,0.801
1521,0.9036
1522,0.7987
1523,0.8467
1524,0.8604
1525,0.9296
1526,0.7644
1527,0.8681
1528,0.8519
1529,0.7536
1530,0.8667
1531,0.8925
1532,0.8746
1533,0.8787
1534,0.8011
1535,0.8579
1536,0.8795
1537,0.9257
1538,0.9277
1539,0.776
1540,0.76
1541,0.9077
1542,0.8478
1543,0.8314
1544,0.8836
1545,0.8731
1546,0.7956
1547,0.8458
1548,0.8537
1549,0.8875
1550,0.8523
1551,0.8653
1552,0.8772
1553,0.8444
1554,0.916
1555,0.805
1556,0.869
1557,0.7983
1558,0.8939
1559,0.7498
1560,0.8328
1561,0.755
1562,0.9179
1563,0.7942
1564,0.7594
1565,0.9451
1566,0.7858
1567,0.8551
1568,0.8496
1569,0.8001
1570,0.8412
1571,0.9391
1572,0.8638
1573,0.789
1574,0.7913
1575,0.8555
1576,0.8916
1577,0.7827
1578,0.8366
1579,0.8693
1580,0.773
1581,0.7774
1582,0.7924
1583,0.8701
1584,0.8902
1585,0.729
1586,0.9175
1587,0.7715
1588,0.9022
1589,0.8861
1590,0.8604
1591,0.9063
1592,0.7483
1593,0.9045
1594,0.9268
1595,0.878
1596,0.7988
1597,0.8556
1598,0.8356
1599,0.8155
1600,0.8537
1601,0.8619
1602,0.8772
1603,0.7658
1604,0.9407
1605,0.9063
1606,0.9437
1607,0.8666
1608,0.8011
1609,0.8035
1610,0.8565
1611,0.76
1612,0.9258
1613,0.9392
1614,0.8939
1615,0.8555
1616,0.7644
1617,0.8806
1618,0.7594
1619,0.7956
1620,0.9036
1621,0.8519
1622,0.7335
1623,0.7987
1624,0.8204
1625,0.8478
1626,0.8328
1627,0.8579
1628,0.8412
1629,0.8948
1630,0.9268
1631,0.9295
1632,0.776
1633,0.8589
1634,0.8523
1635,0.8001
1636,0.881
1637,0.8551
1638,0.9175
1639,0.827
1640,0.7965
1641,0.805
1642,0.801
1643,0.7536
1644,0.8795
1645,0.7997
1646,0.869
1647,0.8681
1648,0.8511
1649,0.8458
1650,0.9354
1651,0.7913
1652,0.7483
1653,0.8564
1654,0.8496
1655,0.8875
1656,0.8746
1657,0.8992
1658,0.758
1659,0.7904
1660,0.898
1661,0.8604
1662,0.7715
1663,0.8701
1664,0.9077
1665,0.8791
1666,0.8314
1667,0.9022
1668,0.8693
1669,0.8925
1670,0.7812
1671,0.8284
1672,0.9193
1673,0.8467
1674,0.9114
1675,0.7614
1676,0.7983
1677,0.8902
1678,0.8787
1679,0.8366
1680,0.789
1681,0.8966
1682,0.7774
1683,0.921
1684,0.7942
1685,0.7373
1686,0.8836
1687,0.9045
1688,0.7276
1689,0.8444
1690,0.7827
1691,0.8638
1692,0.8604
1693,0.7498
1694,0.755
1695,0.8381
1696,0.729
1697,0.732
1698,0.8861
1699,0.8653
1700,0.7956
1701,0.8549
1702,0.8746
1703,0.9295
1704,0.9291
1705,0.8589
1706,0.7774
1707,0.8667
1708,0.869
1709,0.916
1710,0.7595
1711,0.7858
1712,0.729
1713,0.8523
1714,0.7965
1715,0.8638
1716,0.885
1717,0.8366
1718,0.7715
1719,0.9175
1720,0.8314
1721,0.9022
1722,0.8966
1723,0.801
1724,0.8511
1725,0.8675
1726,0.7942
1727,0.7594
1728,0.9437
1729,0.8519
1730,0.8925
1731,0.7483
1732,0.7644
1733,0.8001
1734,0.7658
1735,0.8444
1736,0.8875
1737,0.8772
1738,0.9114
1739,0.8806
1740,0.9354
1741,0.8555
1742,0.8653
1743,0.8604
1744,0.8284
1745,0.7983
1746,0.7812
1747,0.7498
1748,0.7536
1749,0.9451
1750,0.9179
1751,0.7276
1752,0.898
1753,0.7373
1754,0.776
1755,0.773
1756,0.8412
1757,0.8564
1758,0.7987
