,mol,dup
429,CHEMBL2424682(1),CHEMBL2424682
430,CHEMBL2424711(1),CHEMBL2424711
431,CHEMBL2424703(1),CHEMBL2424703
432,CHEMBL451532(1),CHEMBL451532
433,CHEMBL169(24),CHEMBL169
434,CHEMBL472646(1),CHEMBL472646
435,CHEMBL1242827(1),CHEMBL1242827
436,CHEMBL115452(1),CHEMBL115452
437,CHEMBL169(25),CHEMBL169
438,CHEMBL168(30),CHEMBL168
439,CHEMBL168(31),CHEMBL168
440,CHEMBL168(32),CHEMBL168
441,CHEMBL117869(1),CHEMBL117869
442,CHEMBL2424693(1),CHEMBL2424693
443,CHEMBL2424661(1),CHEMBL2424661
444,CHEMBL169(26),CHEMBL169
445,CHEMBL558886(1),CHEMBL558886
446,CHEMBL168(33),CHEMBL168
447,CHEMBL1232829(3),CHEMBL1232829
448,CHEMBL2424702(1),CHEMBL2424702
449,CHEMBL2424699(1),CHEMBL2424699
450,CHEMBL169(27),CHEMBL169
451,CHEMBL2424686(1),CHEMBL2424686
452,CHEMBL2424715(1),CHEMBL2424715
453,CHEMBL285307(2),CHEMBL285307
454,CHEMBL168(34),CHEMBL168
455,CHEMBL168(35),CHEMBL168
456,CHEMBL2424690(1),CHEMBL2424690
457,CHEMBL169(28),CHEMBL169
458,CHEMBL487412(1),CHEMBL487412
459,CHEMBL470029(4),CHEMBL470029
460,CHEMBL461165(1),CHEMBL461165
461,CHEMBL129681(5),CHEMBL129681
462,CHEMBL449967(2),CHEMBL449967
463,CHEMBL489670(2),CHEMBL489670
464,CHEMBL2262834(1),CHEMBL2262834
465,CHEMBL2262831(1),CHEMBL2262831
466,CHEMBL2263120(1),CHEMBL2263120
467,CHEMBL461165(2),CHEMBL461165
468,CHEMBL2263121(1),CHEMBL2263121
469,CHEMBL437964(2),CHEMBL437964
470,CHEMBL2263108(1),CHEMBL2263108
471,CHEMBL2262838(1),CHEMBL2262838
472,CHEMBL229885(1),CHEMBL229885
473,CHEMBL169(29),CHEMBL169
474,CHEMBL426373(18),CHEMBL426373
475,CHEMBL472896(2),CHEMBL472896
476,CHEMBL2262832(1),CHEMBL2262832
477,CHEMBL169(30),CHEMBL169
478,CHEMBL2262835(1),CHEMBL2262835
479,CHEMBL611611(1),CHEMBL611611
480,CHEMBL184041(8),CHEMBL184041
481,CHEMBL508583(2),CHEMBL508583
482,CHEMBL3634681(1),CHEMBL3634681
483,CHEMBL462721(1),CHEMBL462721
484,CHEMBL1644933(1),CHEMBL1644933
485,CHEMBL2424684(1),CHEMBL2424684
486,CHEMBL2424685(1),CHEMBL2424685
487,CHEMBL2424713(1),CHEMBL2424713
488,CHEMBL590235(1),CHEMBL590235
489,CHEMBL169(31),CHEMBL169
490,CHEMBL2263111(1),CHEMBL2263111
491,CHEMBL391533(3),CHEMBL391533
492,CHEMBL2263113(1),CHEMBL2263113
493,CHEMBL2263109(1),CHEMBL2263109
494,CHEMBL2263107(1),CHEMBL2263107
495,CHEMBL2263118(1),CHEMBL2263118
496,CHEMBL2263115(1),CHEMBL2263115
497,CHEMBL487412(2),CHEMBL487412
498,CHEMBL2262827(1),CHEMBL2262827
499,CHEMBL169(32),CHEMBL169
500,CHEMBL2424700(1),CHEMBL2424700
501,CHEMBL2424707(1),CHEMBL2424707
502,CHEMBL2424705(1),CHEMBL2424705
503,CHEMBL2424704(1),CHEMBL2424704
504,CHEMBL171632(1),CHEMBL171632
505,CHEMBL2424683(1),CHEMBL2424683
506,CHEMBL2424709(1),CHEMBL2424709
507,CHEMBL266753(9),CHEMBL266753
508,CHEMBL1765367(1),CHEMBL1765367
509,CHEMBL3394769(1),CHEMBL3394769
510,CHEMBL168(36),CHEMBL168
511,CHEMBL168(37),CHEMBL168
512,CHEMBL81421(1),CHEMBL81421
513,CHEMBL81421(2),CHEMBL81421
514,CHEMBL3586411(1),CHEMBL3586411
515,CHEMBL601733(1),CHEMBL601733
516,CHEMBL3040216(1),CHEMBL3040216
517,CHEMBL551842(1),CHEMBL551842
518,CHEMBL4128743(1),CHEMBL4128743
519,CHEMBL462721(2),CHEMBL462721
520,CHEMBL8758(5),CHEMBL8758
521,CHEMBL168(38),CHEMBL168
522,CHEMBL169(33),CHEMBL169
523,CHEMBL193233(3),CHEMBL193233
524,CHEMBL168(39),CHEMBL168
525,CHEMBL169(34),CHEMBL169
526,CHEMBL81421(3),CHEMBL81421
